Kommunenummer,Kommune,Befolkning
3436,Nord-Fron,5493
3437,Sel,5469
3438,Sør-Fron,3108
3439,Ringebu,4497
3440,Øyer,5130
3441,Gausdal,6147
3442,Østre Toten,14925
3443,Vestre Toten,13612
3446,Gran,13689
3447,Søndre Land,5603
3448,Nordre Land,6510
3449,Sør-Aurdal,2841
3450,Etnedal,1593
3451,Nord-Aurdal,6424
3452,Vestre Slidre,2190
3453,Øystre Slidre,3347
3454,Vang,1666
3901,Horten,28173
3903,Holmestrand,27086
3905,Tønsberg,60246
3907,Sandefjord,67062
3909,Larvik,49022
3911,Færder,27743
4001,Porsgrunn,37435
4003,Skien,56906
4005,Notodden,13389
4010,Siljan,2377
4012,Bamble,14267
4014,Kragerø,10378
4016,Drangedal,4056
4018,Nome,6529
4020,Midt-Telemark,11157
4022,Seljord,2959
4024,Hjartdal,1638
4026,Tinn,5515
4028,Kviteseid,2463
4030,Nissedal,1509
4032,Fyresdal,1274
4034,Tokke,2242
4036,Vinje,3829
4201,Risør,6683
4202,Grimstad,25569
4203,Arendal,46603
4204,Kristiansand,119287
4205,Lindesnes,23702
4206,Farsund,9949
4207,Flekkefjord,9373
4211,Gjerstad,2502
4212,Vegårshei,2253
4213,Tvedestrand,6430
4214,Froland,6299
4215,Lillesand,11822
4216,Birkenes,5447
4217,Åmli,1805
4218,Iveland,1386
4219,Evje og Hornnes,3842
4220,Bygland,1167
4221,Valle,1209
4222,Bykle,1057
4223,Vennesla,15772
4224,Åseral,904
4225,Lyngdal,10922
4226,Hægebostad,1794
4227,Kvinesdal,6242
4228,Sirdal,1911
1101,Eigersund,15546
1103,Stavanger,151669
1106,Haugesund,38663
1108,Sandnes,85785
1111,Sokndal,3356
1112,Lund,3229
1114,Bjerkreim,2894
1119,Hå,20087
1120,Klepp,21444
1121,Time,20461
1122,Gjesdal,12715
1124,Sola,29541
1127,Randaberg,11841
1130,Strand,13959
1133,Hjelmeland,2612
1134,Suldal,3891
1135,Sauda,4603
1144,Kvitsøy,579
1145,Bokn,907
1146,Tysvær,11750
1149,Karmøy,43990
1151,Utsira,219
1160,Vindafjord,9181
4601,Bergen,294860
4602,Kinn,17356
4611,Etne,4115
4612,Sveio,5766
4613,Bømlo,12531
4614,Stord,19276
4615,Fitjar,3237
4616,Tysnes,3053
4617,Kvinnherad,13236
4618,Ullensvang,10929
4619,Eidfjord,985
4620,Ulvik,1114
4621,Voss,16438
4622,Kvam,8490
4623,Samnanger,2489
4624,Bjørnafjorden,26753
4625,Austevoll,5515
4626,Øygarden,40641
